Title,Author,Genre,Year Read,Read for school?,Read > 1 time
Steve Jobs,Walter Isaacson,Tech / Biography,2017,,
The Russian Revolution,S.A. Smith,World History,2017,,
The Communist Manifesto,"Karl Marx, Engels",Politics,2017,Yes,
October,China Mieville,World History,2017,,
A Brilliant Solution,Carol Berkin,American History / Politics,2017,Yes,
The Underground Railroad,Colson Whitehead,Fiction,2017,Yes,
Caesar,Adrian Goldsworthy,Classical History / Biography,2017,,
Call Me by Your Name,Andre Aciman,Fiction,2017,,
Napoleon,Andrew Roberts,World History / Biography,2017,,
Zero to One,"Peter Thiel, Blake Masters",Politics / Tech,2017,,Yes
Stat Shot,Bob Vollman,Non-fiction,2017,,
Milestones,Sayed Qutb,Politics,2017,,
The Unvanquished,William Faulkner,Fiction,2017,Yes,
Romeo and Juliet,William Shakespeare,Fiction,2017,Yes,
Macbeth,William Shakespeare,Fiction,2017,Yes,
Huckleberry Finn,Mark Twain,Fiction,2017,Yes,
The Great Gatsby,F. Scott Fitzgerald,Fiction,2017,Yes,
Beowulf,,Fiction,2016,Yes,
One Minute to Midnight,Michael Dobbs,American History / Politics,2016,,
Lawrence in Arabia,Scott Anderson,World History,2016,,
Thomas Jefferson: The Art of Power,Jon Meachem,American History / Politics,2016,,
Andrew Jackson,HW Brands,American History / Politics,2016,,
In Trump We Trust,Ann Coulter,Politics,2016,,
The Yanks Are Coming!,HW Crocker,American History / Politics,2016,,
Lincoln and the Civil War,Michael Burlingame,American History / Politics,2016,,
Franklin and Winston,Jon Meachem,American History / Politics,2016,,
The Greatest Comeback,Patrick Buchanan,American History / Politics,2016,,
The Looming Tower,Lawrence Wright,Politics,2016,,
No Higher Honor,Condoleezza Rice,Politics,2016,,
Destiny of the Republic,Candace Millard,American History / Politics,2016,Yes,
Peasant Fires: The Drummer of Niklashausen,Richard Wunderli,World History,2016,Yes,
The Odyssey,Homer (Fagles),Fiction,2016,Yes,
As I Lay Dying,William Faulkner,Fiction,2016,,
Animal Farm,George Orwell,Fiction,2016,Yes,
Lord of the Flies,William Golding,Fiction,2016,Yes,
Hamlet,William Shakespeare,Fiction,2016,Yes,
Henry V,William Shakespeare,Fiction,2016,Yes,
Beloved,Tony Morrison,Fiction,2016,Yes,
The Stranger,Albert Camus,Fiction,2016,Yes,
The Canterbury Tales,Geoffrey Chaucer,Fiction,2016,Yes,
Brave New World,Aldous Huxley,Fiction,2015,Yes,
The Catcher in the Rye,J.D. Sallinger,Fiction,2015,Yes,
Sphere,Michael Crichton,Fiction,2014,,
Fahrenheit 451,Ray Bradbury,Fiction,2014,Yes,
Things Fall Apart,Chinua Achebe,Fiction,2014,Yes,
Hatchet,Gary Paulsen,Fiction,2013,Yes,
The Call of the Wild,Jack London,Fiction,2013,Yes,
Shawshank Redemption,Stephen King,Fiction,2013,,Yes
Of Mice and Men,John Steinbeck,Fiction,2013,Yes,
To Kill a Mockingbird,Harper Lee,Fiction,2013,Yes,
Julius Caesar,William Shakespeare,Fiction,2013,Yes,
The Outsiders,S.E. Hinton,Fiction,2012,Yes,
The Giver,Lois Lowry,Fiction,2012,Yes,
So Far From the Bamboo Grove,Yoko Kawashima Watkins,Fiction,2012,Yes,
King George: What Was His Problem?,Steve Sheinkin,American History,2010,Yes,
Frindle,Andrew Clements,Fiction,2009,Yes,
The Last Olympians,Rick Riordan,Fiction,2009,,
The Battle of the Labyrinth,Rick Riordan,Fiction,2008,,
The Titan's Curse,Rick Riordan,Fiction,2008,,
The Sea of Monsters,Rick Riordan,Fiction,2008,,
The Lightning Thief,Rick Riordan,Fiction,2008,,
